Customer,Date,Revenue
31,6/30/2017,2506.39
31,7/31/2017,2506.39
31,8/31/2017,2506.39
31,9/30/2017,2506.39
31,10/31/2017,2506.39
31,11/30/2017,2506.39
32,1/1/2015,0
32,2/28/2015,0
32,3/31/2015,0
32,4/30/2015,0
32,5/31/2015,0
32,6/30/2015,0
32,7/31/2015,0
32,8/31/2015,0
32,9/30/2015,0
32,10/31/2015,0
32,11/30/2015,0
32,12/31/2015,0
32,1/31/2016,0
32,2/29/2016,279.3
32,3/31/2016,279.3
32,4/30/2016,279.3
32,5/31/2016,540.75
32,6/30/2016,540.75
32,7/31/2016,540.75
32,8/31/2016,540.75
32,9/30/2016,540.75
32,10/31/2016,540.75
32,11/30/2016,540.75
32,12/31/2016,540.75
32,1/31/2017,540.75
32,2/28/2017,540.75
32,3/31/2017,540.75
32,4/30/2017,540.75
32,5/31/2017,540.75
32,6/30/2017,540.75
32,7/31/2017,540.75
32,8/31/2017,540.75
32,9/30/2017,540.75
32,10/31/2017,540.75
32,11/30/2017,540.75
33,1/1/2015,0
33,2/28/2015,0
33,3/31/2015,0
33,4/30/2015,0
33,5/31/2015,0
33,6/30/2015,0
33,7/31/2015,0
33,8/31/2015,0
33,9/30/2015,0
33,10/31/2015,0
33,11/30/2015,0
33,12/31/2015,0
33,1/31/2016,0
33,2/29/2016,0
33,3/31/2016,0
33,4/30/2016,34
33,5/31/2016,34
33,6/30/2016,34
33,7/31/2016,34
33,8/31/2016,34
33,9/30/2016,41
33,10/31/2016,41
33,11/30/2016,41
33,12/31/2016,41
33,1/31/2017,41
33,2/28/2017,54
33,3/31/2017,0
33,4/30/2017,95
33,5/31/2017,54
33,6/30/2017,54
33,7/31/2017,54
33,8/31/2017,54
33,9/30/2017,54
33,10/31/2017,54
33,11/30/2017,54
34,1/1/2015,0
34,2/28/2015,0
34,3/31/2015,0
34,4/30/2015,0
34,5/31/2015,0
34,6/30/2015,0
34,7/31/2015,0
34,8/31/2015,0
34,9/30/2015,0
34,10/31/2015,0
34,11/30/2015,0
34,12/31/2015,0
34,1/31/2016,0
34,2/29/2016,0
34,3/31/2016,399
34,4/30/2016,399
34,5/31/2016,399
34,6/30/2016,399
34,7/31/2016,399
34,8/31/2016,399
34,9/30/2016,399
34,10/31/2016,399
34,11/30/2016,399
34,12/31/2016,399
34,1/31/2017,399
34,2/28/2017,399
34,3/31/2017,399
34,4/30/2017,399
34,5/31/2017,399
34,6/30/2017,399
34,7/31/2017,399
34,8/31/2017,399
34,9/30/2017,399
